date,high-PETR4.SA,low-PETR4.SA,volume-PETR4.SA,close-PETR4.SA,open-PETR4.SA,high-^BVSP,low-^BVSP,volume-^BVSP,close-^BVSP,open-^BVSP,high-BRL=X,low-BRL=X,close-BRL=X,open-BRL=X,compra
2021-01-04,23.0,28.530000686645508,74719700.0,28.90999984741211,28.649999618530273,120354.0,118062.0,8741400.0,118558.0,119024.0,5.252799987792969,5.116399765014648,5.19189977645874,5.172800064086914,23
2021-01-05,23.0,28.239999771118164,95181100.0,30.040000915527344,28.899999618530273,119790.0,116756.0,9257100.0,119223.0,118835.0,5.350299835205078,5.274600028991699,5.295300006866455,5.295000076293945,23
2021-01-06,23.0,30.049999237060547,96562500.0,30.100000381469727,30.15999984741211,120924.0,118917.0,11638200.0,119851.0,119377.0,5.346680164337158,5.231206893920898,5.28410005569458,5.2845001220703125,23
2021-01-07,23.0,30.34000015258789,56171300.0,31.0,30.34000015258789,121983.0,119101.0,11774800.0,121956.0,119103.0,5.4055681228637695,5.2967000007629395,5.312900066375732,5.313300132751465,23
2021-01-08,23.0,30.350000381469727,67136300.0,31.1200008392334,31.459999084472656,125324.0,122386.0,11085800.0,125077.0,122387.0,5.411399841308594,5.320400238037109,5.40880012512207,5.408699989318848,23
2021-01-11,23.0,30.399999618530273,48744700.0,30.860000610351562,30.610000610351562,125075.0,122506.0,9537600.0,122807.0,125075.0,5.51200008392334,5.414599895477295,5.4121880531311035,5.417500019073486,23
2021-01-12,23.0,30.6299991607666,65691900.0,30.6299991607666,31.1200008392334,124584.0,123227.0,8949000.0,123998.0,123255.0,5.490200042724609,5.4057698249816895,5.48769998550415,5.48829984664917,23
2021-01-13,23.0,29.0,93826600.0,29.149999618530273,30.68000030517578,124032.0,121016.0,10291500.0,122040.0,123996.0,5.349999904632568,5.268499851226807,5.321400165557861,5.321100234985352,23
2021-01-14,23.0,28.719999313354492,50745400.0,29.450000762939453,29.170000076293945,123896.0,121947.0,8974400.0,123481.0,121947.0,5.301478862762451,5.211100101470947,5.297500133514404,5.297800064086914,23
2021-01-15,23.0,28.030000686645508,80673300.0,28.1200008392334,29.049999237060547,123472.0,120374.0,9387600.0,120502.0,123472.0,5.291639804840088,5.193142890930176,5.195799827575684,5.195799827575684,23
2021-01-18,23.0,28.010000228881836,68855700.0,28.06999969482422,28.309999465942383,122586.0,120351.0,7223100.0,121242.0,120351.0,5.3206000328063965,5.235958099365234,5.291299819946289,5.289599895477295,23
2021-01-19,23.0,27.639999389648438,61656000.0,28.690000534057617,28.479999542236328,122120.0,119257.0,7886000.0,120673.0,121250.0,5.345799922943115,5.244100093841553,5.2947998046875,5.295000076293945,23
2021-01-20,23.0,28.110000610351562,60306200.0,28.209999084472656,28.950000762939453,121449.0,118740.0,7947300.0,119708.0,120645.0,5.357399940490723,5.275000095367432,5.3566999435424805,5.356200218200684,23
2021-01-21,23.0,27.510000228881836,41284900.0,27.549999237060547,28.020000457763672,120243.0,117785.0,8573900.0,118443.0,119628.0,5.396900177001953,5.233826160430908,5.290500164031982,5.290299892425537,23
2021-01-22,23.0,26.559999465942383,51181900.0,27.09000015258789,26.93000030517578,118318.0,116109.0,9373100.0,117172.0,118318.0,5.461699962615967,5.346981048583984,5.3495001792907715,5.349400043487549,23
2021-01-26,23.0,26.81999969482422,64514600.0,27.0,27.25,119167.0,116109.0,10681400.0,116464.0,117381.0,5.4704999923706055,5.341590881347656,5.4654998779296875,5.463791847229004,23
2021-01-27,23.0,26.530000686645508,68337800.0,27.399999618530273,26.809999465942383,117840.0,114887.0,12380400.0,115882.0,116463.0,5.417300224304199,5.3491997718811035,5.353799819946289,5.354000091552734,23
2021-01-28,23.0,27.309999465942383,67827000.0,27.760000228881836,27.31999969482422,119314.0,115734.0,12065900.0,119314.0,115882.0,5.454100131988525,5.3889641761779785,5.412600040435791,5.411900043487549,23
2021-01-29,23.0,26.690000534057617,67555300.0,26.690000534057617,27.520000457763672,118880.0,115299.0,10965200.0,116007.0,118880.0,5.503699779510498,5.411807060241699,5.437989234924316,5.437483787536621,23
2021-02-01,23.0,26.829999923706055,44449500.0,27.530000686645508,27.260000228881836,117862.0,115093.0,8716500.0,117365.0,115093.0,5.482500076293945,5.417943000793457,5.4608001708984375,5.4608001708984375,23
2021-02-02,23.0,28.200000762939453,91663000.0,28.65999984741211,28.399999618530273,119805.0,117519.0,11625900.0,118234.0,117520.0,5.433499813079834,5.3531999588012695,5.430500030517578,5.43120002746582,23
2021-02-03,23.0,28.65999984741211,47486800.0,28.940000534057617,28.979999542236328,120210.0,118234.0,8704300.0,119725.0,118235.0,5.390500068664551,5.321300029754639,5.3668999671936035,5.365368843078613,23
2021-02-04,23.0,28.209999084472656,41444100.0,28.81999969482422,28.829999923706055,120560.0,118918.0,8100700.0,119261.0,119728.0,5.427599906921387,5.336678981781006,5.3520002365112305,5.35055685043335,23
2021-02-05,23.0,28.31999969482422,121098700.0,28.84000015258789,28.979999542236328,121117.0,119261.0,8208400.0,119925.0,119261.0,5.453100204467773,5.344791889190674,5.4257001876831055,5.425600051879883,23
