date,high-PETR4.SA,low-PETR4.SA,close-PETR4.SA,open-PETR4.SA,volume-PETR4.SA,adjclose-PETR4.SA,high-^BVSP,low-^BVSP,close-^BVSP,open-^BVSP,volume-^BVSP,adjclose-^BVSP,high-BRL=X,low-BRL=X,close-BRL=X,open-BRL=X,volume-BRL=X,adjclose-BRL=X
2021-01-04,29.18000030517578,28.530000686645508,28.90999984741211,28.649999618530273,74719700.0,28.90999984741211,120354.0,118062.0,118558.0,119024.0,8741400.0,118558.0,5.252799987792969,5.116399765014648,5.19189977645874,5.172800064086914,0.0,5.19189977645874
2021-01-05,30.18000030517578,28.239999771118164,30.040000915527344,28.899999618530273,95181100.0,30.040000915527344,119790.0,116756.0,119223.0,118835.0,9257100.0,119223.0,5.350299835205078,5.274600028991699,5.295300006866455,5.295000076293945,0.0,5.295300006866455
2021-01-06,30.899999618530273,30.049999237060547,30.100000381469727,30.15999984741211,96562500.0,30.100000381469727,120924.0,118917.0,119851.0,119377.0,11638200.0,119851.0,5.346680164337158,5.231206893920898,5.28410005569458,5.2845001220703125,0.0,5.28410005569458
2021-01-07,31.149999618530273,30.34000015258789,31.0,30.34000015258789,56171300.0,31.0,121983.0,119101.0,121956.0,119103.0,11774800.0,121956.0,5.4055681228637695,5.2967000007629395,5.312900066375732,5.313300132751465,0.0,5.312900066375732
2021-01-08,31.760000228881836,30.350000381469727,31.1200008392334,31.459999084472656,67136300.0,31.1200008392334,125324.0,122386.0,125077.0,122387.0,11085800.0,125077.0,5.411399841308594,5.320400238037109,5.40880012512207,5.408699989318848,0.0,5.40880012512207
2021-01-11,31.059999465942383,30.399999618530273,30.860000610351562,30.610000610351562,48744700.0,30.860000610351562,125075.0,122506.0,122807.0,125075.0,9537600.0,122807.0,5.51200008392334,5.414599895477295,5.4121880531311035,5.417500019073486,0.0,5.4121880531311035
2021-01-12,31.559999465942383,30.6299991607666,30.6299991607666,31.1200008392334,65691900.0,30.6299991607666,124584.0,123227.0,123998.0,123255.0,8949000.0,123998.0,5.490200042724609,5.4057698249816895,5.48769998550415,5.48829984664917,0.0,5.48769998550415
2021-01-13,30.860000610351562,29.0,29.149999618530273,30.68000030517578,93826600.0,29.149999618530273,124032.0,121016.0,122040.0,123996.0,10291500.0,122040.0,5.349999904632568,5.268499851226807,5.321400165557861,5.321100234985352,0.0,5.321400165557861
2021-01-14,29.670000076293945,28.719999313354492,29.450000762939453,29.170000076293945,50745400.0,29.450000762939453,123896.0,121947.0,123481.0,121947.0,8974400.0,123481.0,5.301478862762451,5.211100101470947,5.297500133514404,5.297800064086914,0.0,5.297500133514404
2021-01-15,29.079999923706055,28.030000686645508,28.1200008392334,29.049999237060547,80673300.0,28.1200008392334,123472.0,120374.0,120502.0,123472.0,9387600.0,120502.0,5.291639804840088,5.193142890930176,5.195799827575684,5.195799827575684,0.0,5.195799827575684
